batch_size,learning_rate,fold,accuracy,f1,tpr,tnr,gmean,preprocessed_dir
1,1e-05,1,0.6521739130434783,0.5555555555555556,0.45454545454545453,0.8333333333333334,0.6154574548966637,resize_mini_hu_m300_1400_separadas
1,1e-05,2,0.7391304347826086,0.7692307692307693,0.9090909090909091,0.5833333333333334,0.7282190812544191,resize_mini_hu_m300_1400_separadas
1,1e-05,3,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,resize_mini_hu_m300_1400_separadas
1,1e-05,4,0.5909090909090909,0.47058823529411764,0.4,0.75,0.5477225575051662,resize_mini_hu_m300_1400_separadas
1,1e-05,5,0.6363636363636364,0.3333333333333333,0.2,1.0,0.4472135954999579,resize_mini_hu_m300_1400_separadas
1,5e-05,1,0.6521739130434783,0.6363636363636364,0.6363636363636364,0.6666666666666666,0.6513389472789296,resize_mini_hu_m300_1400_separadas
1,5e-05,2,0.6521739130434783,0.5555555555555556,0.45454545454545453,0.8333333333333334,0.6154574548966637,resize_mini_hu_m300_1400_separadas
1,5e-05,3,0.7272727272727273,0.625,0.45454545454545453,1.0,0.674199862463242,resize_mini_hu_m300_1400_separadas
1,5e-05,4,0.5454545454545454,0.6153846153846154,0.8,0.3333333333333333,0.5163977794943222,resize_mini_hu_m300_1400_separadas
1,5e-05,5,0.6363636363636364,0.5555555555555556,0.5,0.75,0.6123724356957945,resize_mini_hu_m300_1400_separadas
1,0.0001,1,0.6521739130434783,0.6923076923076923,0.8181818181818182,0.5,0.6396021490668313,resize_mini_hu_m300_1400_separadas
1,0.0001,2,0.43478260869565216,0.38095238095238093,0.36363636363636365,0.5,0.4264014327112209,resize_mini_hu_m300_1400_separadas
1,0.0001,3,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,resize_mini_hu_m300_1400_separadas
1,0.0001,4,0.7272727272727273,0.7,0.7,0.75,0.7245688373094719,resize_mini_hu_m300_1400_separadas
1,0.0001,5,0.5909090909090909,0.6086956521739131,0.7,0.5,0.5916079783099616,resize_mini_hu_m300_1400_separadas
1,0.0005,1,0.34782608695652173,0.21052631578947367,0.18181818181818182,0.5,0.30151134457776363,resize_mini_hu_m300_1400_separadas
1,0.0005,2,0.5652173913043478,0.6428571428571429,0.8181818181818182,0.3333333333333333,0.5222329678670935,resize_mini_hu_m300_1400_separadas
1,0.0005,3,0.5909090909090909,0.6896551724137931,0.9090909090909091,0.2727272727272727,0.49792959773196915,resize_mini_hu_m300_1400_separadas
1,0.0005,4,0.5454545454545454,0.5,0.5,0.5833333333333334,0.5400617248673217,resize_mini_hu_m300_1400_separadas
1,0.0005,5,0.6818181818181818,0.631578947368421,0.6,0.75,0.6708203932499369,resize_mini_hu_m300_1400_separadas
1,0.001,1,0.5217391304347826,0.5925925925925926,0.7272727272727273,0.3333333333333333,0.49236596391733095,resize_mini_hu_m300_1400_separadas
1,0.001,2,0.43478260869565216,0.43478260869565216,0.45454545454545453,0.4166666666666667,0.4351941398892446,resize_mini_hu_m300_1400_separadas
