fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,preprocessed_dir,weight_decay,dropout_prob,seed
MEAN,TEST,0.544,0.5987338778428622,0.746969696969697,0.3615384615384615,0.4951111137678005,4,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,9
1,VALIDATION,0.65,0.6956521739130435,0.8888888888888888,0.45454545454545453,0.6356417261637282,16,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,9
1,TEST,0.6,0.6875,0.9166666666666666,0.3076923076923077,0.5310850045437944,16,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,9
2,VALIDATION,0.8,0.75,0.6666666666666666,0.9090909090909091,0.7784989441615229,16,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,9
2,TEST,0.48,0.23529411764705882,0.16666666666666666,0.7692307692307693,0.35805743701971643,16,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,9
3,VALIDATION,0.5,0.4444444444444444,0.4444444444444444,0.5454545454545454,0.4923659639173309,16,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,9
3,TEST,0.56,0.5925925925925926,0.6666666666666666,0.46153846153846156,0.5547001962252291,16,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,9
4,VALIDATION,0.65,0.6666666666666666,0.7777777777777778,0.5454545454545454,0.6513389472789296,16,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,9
4,TEST,0.44,0.6111111111111112,0.9166666666666666,0.0,0.0,16,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,9
5,VALIDATION,0.7,0.6666666666666666,0.6,0.8,0.6928203230275509,16,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,9
5,TEST,0.8,0.7058823529411765,0.5454545454545454,1.0,0.7385489458759964,16,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,9
MEAN,VALIDATION,0.6599999999999999,0.6446859903381642,0.6755555555555556,0.6509090909090908,0.6501331809098124,16,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,9
MEAN,TEST,0.576,0.5664760348583878,0.6424242424242423,0.5076923076923078,0.43647831673294724,16,0.001,resize_mini_hu_m600_1500_separadas,0,0.3,9
1,VALIDATION,0.65,0.72,1.0,0.36363636363636365,0.6030226891555273,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.3,40
