fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,preprocessed_dir,weight_decay,dropout_prob
1,VALIDATION,0.75,0.7619047619047619,0.8888888888888888,0.6363636363636364,0.7521014330903549,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.5
1,TEST,0.52,0.5384615384615384,0.5833333333333334,0.46153846153846156,0.5188745216627708,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.5
2,VALIDATION,0.65,0.5882352941176471,0.5555555555555556,0.7272727272727273,0.6356417261637283,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.5
2,TEST,0.48,0.23529411764705882,0.16666666666666666,0.7692307692307693,0.35805743701971643,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.5
3,VALIDATION,0.65,0.631578947368421,0.6666666666666666,0.6363636363636364,0.6513389472789296,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.5
3,TEST,0.68,0.6923076923076923,0.75,0.6153846153846154,0.6793662204867574,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.5
4,VALIDATION,0.6,0.6363636363636364,0.7777777777777778,0.45454545454545453,0.5945883900105632,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.5
4,TEST,0.48,0.6285714285714286,0.9166666666666666,0.07692307692307693,0.2655425022718972,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.5
5,VALIDATION,0.65,0.6956521739130435,0.8,0.5,0.6324555320336759,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.5
5,TEST,0.6,0.6875,1.0,0.2857142857142857,0.5345224838248488,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.5
MEAN,VALIDATION,0.6599999999999999,0.662746962733502,0.7377777777777779,0.5909090909090909,0.6532252057154504,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.5
MEAN,TEST,0.552,0.5564269553975436,0.6833333333333333,0.4417582417582418,0.4712726330531981,4,0.001,resize_mini_hu_m300_1400_separadas,0,0.5
1,VALIDATION,0.75,0.7368421052631579,0.7777777777777778,0.7272727272727273,0.7521014330903549,8,0.001,resize_mini_hu_m300_1400_separadas,0,0.2
1,TEST,0.48,0.43478260869565216,0.4166666666666667,0.5384615384615384,0.47366546671567095,8,0.001,resize_mini_hu_m300_1400_separadas,0,0.2
2,VALIDATION,0.65,0.5882352941176471,0.5555555555555556,0.7272727272727273,0.6356417261637283,8,0.001,resize_mini_hu_m300_1400_separadas,0,0.2
2,TEST,0.56,0.35294117647058826,0.25,0.8461538461538461,0.45993310550389993,8,0.001,resize_mini_hu_m300_1400_separadas,0,0.2
3,VALIDATION,0.7,0.625,0.5555555555555556,0.8181818181818182,0.6741998624632421,8,0.001,resize_mini_hu_m300_1400_separadas,0,0.2
3,TEST,0.64,0.6666666666666666,0.75,0.5384615384615384,0.6354889093022426,8,0.001,resize_mini_hu_m300_1400_separadas,0,0.2
4,VALIDATION,0.6,0.6363636363636364,0.7777777777777778,0.45454545454545453,0.5945883900105632,8,0.001,resize_mini_hu_m300_1400_separadas,0,0.2
4,TEST,0.52,0.6470588235294118,0.9166666666666666,0.15384615384615385,0.3755338080994054,8,0.001,resize_mini_hu_m300_1400_separadas,0,0.2
5,VALIDATION,0.6,0.6666666666666666,0.8,0.4,0.5656854249492381,8,0.001,resize_mini_hu_m300_1400_separadas,0,0.2
5,TEST,0.52,0.6,0.8181818181818182,0.2857142857142857,0.48349377841522817,8,0.001,resize_mini_hu_m300_1400_separadas,0,0.2
MEAN,VALIDATION,0.6599999999999999,0.6506215404822215,0.6933333333333334,0.6254545454545455,0.6444433673354253,8,0.001,resize_mini_hu_m300_1400_separadas,0,0.2
