n_estimators,max_depth,learning_rate,subsample,colsample_bytree,scale_pos_weight,F1_promedio,Recall_promedio
100,7,0.01,0.8,0.8,3.75,0.4719,0.96
100,7,0.01,0.8,0.8,4.0,0.4673,0.96
100,7,0.01,0.8,0.8,4.25,0.462,0.96
100,7,0.01,0.8,0.8,4.5,0.462,0.96
100,7,0.01,0.8,0.8,4.75,0.462,0.96
100,7,0.01,0.8,0.8,5.0,0.462,0.96
100,7,0.01,0.8,0.8,5.25,0.462,0.96
100,7,0.01,0.8,0.8,5.5,0.462,0.96
100,7,0.01,0.8,0.8,5.75,0.462,0.96
100,7,0.01,0.8,0.8,6.0,0.462,0.96
200,7,0.01,0.8,0.8,1.0,0.2056,0.22
200,7,0.01,0.8,0.8,1.25,0.1894,0.22
200,7,0.01,0.8,0.8,1.5,0.206,0.26
200,7,0.01,0.8,0.8,1.75,0.2149,0.3
200,7,0.01,0.8,0.8,2.0,0.2426,0.34
200,7,0.01,0.8,0.8,2.25,0.3007,0.44
200,7,0.01,0.8,0.8,2.5,0.3319,0.49
200,7,0.01,0.8,0.8,2.75,0.3766,0.58
200,7,0.01,0.8,0.8,3.0,0.3873,0.62
200,7,0.01,0.8,0.8,3.25,0.3823,0.62
200,7,0.01,0.8,0.8,3.5,0.3762,0.62
200,7,0.01,0.8,0.8,3.75,0.3711,0.62
200,7,0.01,0.8,0.8,4.0,0.3601,0.62
200,7,0.01,0.8,0.8,4.25,0.4029,0.7
200,7,0.01,0.8,0.8,4.5,0.3985,0.7
200,7,0.01,0.8,0.8,4.75,0.4195,0.75
200,7,0.01,0.8,0.8,5.0,0.4069,0.75
200,7,0.01,0.8,0.8,5.25,0.4069,0.75
200,7,0.01,0.8,0.8,5.5,0.4136,0.75
200,7,0.01,0.8,0.8,5.75,0.4136,0.75
200,7,0.01,0.8,0.8,6.0,0.4212,0.75
100,3,0.05,0.8,0.8,1.0,0.1812,0.22
100,3,0.05,0.8,0.8,1.25,0.2587,0.3
100,3,0.05,0.8,0.8,1.5,0.2418,0.3
100,3,0.05,0.8,0.8,1.75,0.2305,0.3
100,3,0.05,0.8,0.8,2.0,0.2194,0.3
100,3,0.05,0.8,0.8,2.25,0.2788,0.38
100,3,0.05,0.8,0.8,2.5,0.2699,0.38
100,3,0.05,0.8,0.8,2.75,0.2699,0.38
100,3,0.05,0.8,0.8,3.0,0.3099,0.43
100,3,0.05,0.8,0.8,3.25,0.3194,0.47
100,3,0.05,0.8,0.8,3.5,0.3627,0.56
100,3,0.05,0.8,0.8,3.75,0.3536,0.56
100,3,0.05,0.8,0.8,4.0,0.3536,0.56
100,3,0.05,0.8,0.8,4.25,0.3459,0.56
100,3,0.05,0.8,0.8,4.5,0.3353,0.52
100,3,0.05,0.8,0.8,4.75,0.3656,0.57
100,3,0.05,0.8,0.8,5.0,0.3788,0.61
100,3,0.05,0.8,0.8,5.25,0.3656,0.57
100,3,0.05,0.8,0.8,5.5,0.3979,0.65
100,3,0.05,0.8,0.8,5.75,0.3493,0.56
100,3,0.05,0.8,0.8,6.0,0.4056,0.69
200,3,0.05,0.8,0.8,1.0,0.1723,0.22
200,3,0.05,0.8,0.8,1.25,0.2123,0.26
200,3,0.05,0.8,0.8,1.5,0.2123,0.26
200,3,0.05,0.8,0.8,1.75,0.2568,0.3
200,3,0.05,0.8,0.8,2.0,0.2568,0.3
200,3,0.05,0.8,0.8,2.25,0.2502,0.3
200,3,0.05,0.8,0.8,2.5,0.2784,0.34
200,3,0.05,0.8,0.8,2.75,0.2687,0.34
200,3,0.05,0.8,0.8,3.0,0.2657,0.34
200,3,0.05,0.8,0.8,3.25,0.2332,0.3
200,3,0.05,0.8,0.8,3.5,0.2867,0.38
200,3,0.05,0.8,0.8,3.75,0.3057,0.43
200,3,0.05,0.8,0.8,4.0,0.3739,0.52
200,3,0.05,0.8,0.8,4.25,0.2925,0.43
200,3,0.05,0.8,0.8,4.5,0.3199,0.44
200,3,0.05,0.8,0.8,4.75,0.3092,0.44
200,3,0.05,0.8,0.8,5.0,0.3356,0.48
200,3,0.05,0.8,0.8,5.25,0.3406,0.48
200,3,0.05,0.8,0.8,5.5,0.3761,0.53
200,3,0.05,0.8,0.8,5.75,0.3645,0.53
200,3,0.05,0.8,0.8,6.0,0.3356,0.48
100,5,0.05,0.8,0.8,1.0,0.1812,0.22
100,5,0.05,0.8,0.8,1.25,0.1723,0.22
100,5,0.05,0.8,0.8,1.5,0.2087,0.26
100,5,0.05,0.8,0.8,1.75,0.2014,0.26
100,5,0.05,0.8,0.8,2.0,0.2014,0.26
100,5,0.05,0.8,0.8,2.25,0.2644,0.35
100,5,0.05,0.8,0.8,2.5,0.2588,0.35
100,5,0.05,0.8,0.8,2.75,0.2878,0.39
100,5,0.05,0.8,0.8,3.0,0.2733,0.39
100,5,0.05,0.8,0.8,3.25,0.274,0.39
100,5,0.05,0.8,0.8,3.5,0.2715,0.39
100,5,0.05,0.8,0.8,3.75,0.308,0.44
100,5,0.05,0.8,0.8,4.0,0.3436,0.49
100,5,0.05,0.8,0.8,4.25,0.3436,0.49
100,5,0.05,0.8,0.8,4.5,0.3436,0.49
100,5,0.05,0.8,0.8,4.75,0.3363,0.49
100,5,0.05,0.8,0.8,5.0,0.3363,0.49
100,5,0.05,0.8,0.8,5.25,0.3199,0.48
100,5,0.05,0.8,0.8,5.5,0.3363,0.49
100,5,0.05,0.8,0.8,5.75,0.3255,0.48
100,5,0.05,0.8,0.8,6.0,0.3205,0.48
200,5,0.05,0.8,0.8,1.0,0.1723,0.22
200,5,0.05,0.8,0.8,1.25,0.165,0.22
200,5,0.05,0.8,0.8,1.5,0.205,0.26
