fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,preprocessed_dir,weight_decay,dropout_prob
MEAN,TEST,0.544,0.5441357842809869,0.6666666666666666,0.4406593406593407,0.419744068665339,4,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.4
1,VALIDATION,0.85,0.8235294117647058,0.7777777777777778,0.9090909090909091,0.8408749651825217,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.0
1,TEST,0.56,0.47619047619047616,0.4166666666666667,0.6923076923076923,0.5370861555295747,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.0
2,VALIDATION,0.65,0.5882352941176471,0.5555555555555556,0.7272727272727273,0.6356417261637283,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.0
2,TEST,0.52,0.25,0.16666666666666666,0.8461538461538461,0.3755338080994054,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.0
3,VALIDATION,0.7,0.7,0.7777777777777778,0.6363636363636364,0.7035264706814485,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.0
3,TEST,0.68,0.7142857142857143,0.8333333333333334,0.5384615384615384,0.6698641270570836,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.0
4,VALIDATION,0.6,0.5555555555555556,0.5555555555555556,0.6363636363636364,0.5945883900105632,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.0
4,TEST,0.44,0.5882352941176471,0.8333333333333334,0.07692307692307693,0.25318484177091666,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.0
5,VALIDATION,0.6,0.6363636363636364,0.7,0.5,0.5916079783099616,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.0
5,TEST,0.64,0.6666666666666666,0.8181818181818182,0.5,0.6396021490668313,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.0
MEAN,VALIDATION,0.68,0.6607367795603089,0.6733333333333335,0.6818181818181818,0.6732479060696447,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.0
MEAN,TEST,0.5680000000000001,0.5390756302521008,0.6136363636363636,0.5307692307692308,0.4950542163047624,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.0
1,VALIDATION,0.7,0.7,0.7777777777777778,0.6363636363636364,0.7035264706814485,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.2
1,TEST,0.56,0.5217391304347826,0.5,0.6153846153846154,0.5547001962252291,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.2
2,VALIDATION,0.6,0.6,0.6666666666666666,0.5454545454545454,0.6030226891555273,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.2
2,TEST,0.48,0.48,0.5,0.46153846153846156,0.4803844614152614,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.2
3,VALIDATION,0.6,0.6,0.6666666666666666,0.5454545454545454,0.6030226891555273,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.2
3,TEST,0.64,0.6666666666666666,0.75,0.5384615384615384,0.6354889093022426,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.2
4,VALIDATION,0.6,0.6363636363636364,0.7777777777777778,0.45454545454545453,0.5945883900105632,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.2
4,TEST,0.4,0.5714285714285714,0.8333333333333334,0.0,0.0,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.2
5,VALIDATION,0.6,0.6363636363636364,0.7,0.5,0.5916079783099616,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.2
5,TEST,0.64,0.6666666666666666,0.8181818181818182,0.5,0.6396021490668313,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.2
MEAN,VALIDATION,0.62,0.6345454545454545,0.7177777777777777,0.5363636363636364,0.6191536434626055,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.2
MEAN,TEST,0.544,0.5813002070393375,0.6803030303030304,0.4230769230769231,0.4620351432019129,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.2
1,VALIDATION,0.75,0.7619047619047619,0.8888888888888888,0.6363636363636364,0.7521014330903549,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.4
1,TEST,0.6,0.6153846153846154,0.6666666666666666,0.5384615384615384,0.599144689515278,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.4
2,VALIDATION,0.6,0.6,0.6666666666666666,0.5454545454545454,0.6030226891555273,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.4
2,TEST,0.6,0.6153846153846154,0.6666666666666666,0.5384615384615384,0.599144689515278,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.4
3,VALIDATION,0.65,0.631578947368421,0.6666666666666666,0.6363636363636364,0.6513389472789296,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.4
3,TEST,0.64,0.6666666666666666,0.75,0.5384615384615384,0.6354889093022426,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.4
4,VALIDATION,0.6,0.6363636363636364,0.7777777777777778,0.45454545454545453,0.5945883900105632,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.4
4,TEST,0.4,0.5714285714285714,0.8333333333333334,0.0,0.0,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.4
5,VALIDATION,0.6,0.6,0.6,0.6,0.6,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.4
5,TEST,0.64,0.6666666666666666,0.8181818181818182,0.5,0.6396021490668313,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.4
MEAN,VALIDATION,0.64,0.6459694691273639,0.72,0.5745454545454545,0.640210291907075,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.4
MEAN,TEST,0.576,0.6271062271062271,0.746969696969697,0.4230769230769231,0.494676087479926,4,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.4
1,VALIDATION,0.7,0.7,0.7777777777777778,0.6363636363636364,0.7035264706814485,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.0
1,TEST,0.48,0.5185185185185185,0.5833333333333334,0.38461538461538464,0.47366546671567095,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.0
2,VALIDATION,0.65,0.5882352941176471,0.5555555555555556,0.7272727272727273,0.6356417261637283,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.0
2,TEST,0.64,0.6666666666666666,0.75,0.5384615384615384,0.6354889093022426,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.0
3,VALIDATION,0.7,0.625,0.5555555555555556,0.8181818181818182,0.6741998624632421,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.0
3,TEST,0.68,0.6923076923076923,0.75,0.6153846153846154,0.6793662204867574,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.0
4,VALIDATION,0.65,0.6666666666666666,0.7777777777777778,0.5454545454545454,0.6513389472789296,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.0
4,TEST,0.32,0.32,0.3333333333333333,0.3076923076923077,0.32025630761017426,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.0
5,VALIDATION,0.5,0.5454545454545454,0.6,0.4,0.4898979485566356,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.0
5,TEST,0.68,0.6666666666666666,0.7272727272727273,0.6428571428571429,0.6837634587578277,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.0
MEAN,VALIDATION,0.6399999999999999,0.6250713012477718,0.6533333333333334,0.6254545454545455,0.6309209910287967,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.0
MEAN,TEST,0.56,0.5728319088319088,0.6287878787878789,0.4978021978021978,0.5585080725745345,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.0
1,VALIDATION,0.7,0.7272727272727273,0.8888888888888888,0.5454545454545454,0.6963106238227913,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.2
1,TEST,0.52,0.5384615384615384,0.5833333333333334,0.46153846153846156,0.5188745216627708,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.2
2,VALIDATION,0.65,0.631578947368421,0.6666666666666666,0.6363636363636364,0.6513389472789296,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.2
2,TEST,0.56,0.56,0.5833333333333334,0.5384615384615384,0.560448538317805,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.2
3,VALIDATION,0.65,0.5882352941176471,0.5555555555555556,0.7272727272727273,0.6356417261637283,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.2
3,TEST,0.64,0.6896551724137931,0.8333333333333334,0.46153846153846156,0.6201736729460423,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.2
4,VALIDATION,0.6,0.6363636363636364,0.7777777777777778,0.45454545454545453,0.5945883900105632,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.2
4,TEST,0.4,0.5714285714285714,0.8333333333333334,0.0,0.0,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.2
5,VALIDATION,0.6,0.5555555555555556,0.5,0.7,0.5916079783099616,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.2
5,TEST,0.64,0.6666666666666666,0.8181818181818182,0.5,0.6396021490668313,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.2
MEAN,VALIDATION,0.64,0.6278012321355975,0.6777777777777777,0.6127272727272727,0.6338975331171948,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.2
MEAN,TEST,0.552,0.6052423897941138,0.7303030303030303,0.39230769230769236,0.4678197763986899,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.2
1,VALIDATION,0.65,0.6666666666666666,0.7777777777777778,0.5454545454545454,0.6513389472789296,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.4
1,TEST,0.44,0.4166666666666667,0.4166666666666667,0.46153846153846156,0.4385290096535146,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.4
2,VALIDATION,0.65,0.631578947368421,0.6666666666666666,0.6363636363636364,0.6513389472789296,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.4
2,TEST,0.52,0.5,0.5,0.5384615384615384,0.5188745216627708,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.4
3,VALIDATION,0.65,0.5882352941176471,0.5555555555555556,0.7272727272727273,0.6356417261637283,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.4
3,TEST,0.64,0.6666666666666666,0.75,0.5384615384615384,0.6354889093022426,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.4
4,VALIDATION,0.6,0.6666666666666666,0.8888888888888888,0.36363636363636365,0.5685352436149611,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.4
4,TEST,0.4,0.5714285714285714,0.8333333333333334,0.0,0.0,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.4
5,VALIDATION,0.6,0.6363636363636364,0.7,0.5,0.5916079783099616,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.4
5,TEST,0.64,0.6896551724137931,0.9090909090909091,0.42857142857142855,0.6241877839323592,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.4
MEAN,VALIDATION,0.6300000000000001,0.6379022422366075,0.7177777777777777,0.5545454545454545,0.6196925685293021,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.4
MEAN,TEST,0.528,0.5688834154351396,0.6818181818181819,0.3934065934065934,0.4434160449101774,8,0.001,resize_smaller_hu_m300_1400_separadas,0.0,0.4
1,VALIDATION,0.75,0.7368421052631579,0.7777777777777778,0.7272727272727273,0.7521014330903549,8,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.0
1,TEST,0.64,0.6086956521739131,0.5833333333333334,0.6923076923076923,0.6354889093022426,8,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.0
2,VALIDATION,0.65,0.631578947368421,0.6666666666666666,0.6363636363636364,0.6513389472789296,8,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.0
2,TEST,0.64,0.64,0.6666666666666666,0.6153846153846154,0.6405126152203485,8,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.0
3,VALIDATION,0.65,0.631578947368421,0.6666666666666666,0.6363636363636364,0.6513389472789296,8,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.0
3,TEST,0.6,0.6428571428571429,0.75,0.46153846153846156,0.5883484054145521,8,0.001,resize_smaller_hu_m300_1400_separadas,1e-05,0.0
