fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,preprocessed_dir
2,TEST,0.48,0.6486486486486487,1.0,0.0,0.0,4,1e-05,resize_smaller_hu_m300_1400_separadas
3,VALIDATION,0.55,0.6086956521739131,0.7777777777777778,0.36363636363636365,0.5318160234783105,4,1e-05,resize_smaller_hu_m300_1400_separadas
3,TEST,0.56,0.6857142857142857,1.0,0.15384615384615385,0.3922322702763681,4,1e-05,resize_smaller_hu_m300_1400_separadas
4,VALIDATION,0.45,0.5925925925925926,0.8888888888888888,0.09090909090909091,0.28426762180748055,4,1e-05,resize_smaller_hu_m300_1400_separadas
4,TEST,0.48,0.5806451612903226,0.75,0.23076923076923078,0.41602514716892186,4,1e-05,resize_smaller_hu_m300_1400_separadas
5,VALIDATION,0.55,0.18181818181818182,0.1,1.0,0.31622776601683794,4,1e-05,resize_smaller_hu_m300_1400_separadas
5,TEST,0.52,0.0,0.0,0.9285714285714286,0.0,4,1e-05,resize_smaller_hu_m300_1400_separadas
MEAN,VALIDATION,0.49000000000000005,0.524897147385903,0.7533333333333333,0.2909090909090909,0.22646228226052578,4,1e-05,resize_smaller_hu_m300_1400_separadas
MEAN,TEST,0.504,0.5127313488603812,0.75,0.26263736263736265,0.16165148348905797,4,1e-05,resize_smaller_hu_m300_1400_separadas
1,VALIDATION,0.45,0.5217391304347826,0.6666666666666666,0.2727272727272727,0.42640143271122083,4,0.0001,resize_smaller_hu_m300_1400_separadas
1,TEST,0.52,0.625,0.8333333333333334,0.23076923076923078,0.4385290096535146,4,0.0001,resize_smaller_hu_m300_1400_separadas
2,VALIDATION,0.45,0.6206896551724138,1.0,0.0,0.0,4,0.0001,resize_smaller_hu_m300_1400_separadas
2,TEST,0.48,0.6486486486486487,1.0,0.0,0.0,4,0.0001,resize_smaller_hu_m300_1400_separadas
3,VALIDATION,0.45,0.6206896551724138,1.0,0.0,0.0,4,0.0001,resize_smaller_hu_m300_1400_separadas
3,TEST,0.48,0.6486486486486487,1.0,0.0,0.0,4,0.0001,resize_smaller_hu_m300_1400_separadas
4,VALIDATION,0.5,0.6428571428571429,1.0,0.09090909090909091,0.30151134457776363,4,0.0001,resize_smaller_hu_m300_1400_separadas
4,TEST,0.44,0.6111111111111112,0.9166666666666666,0.0,0.0,4,0.0001,resize_smaller_hu_m300_1400_separadas
