fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,weight_decay,dropout_prob,seed,preprocessed_dir
MEAN,TEST,0.4800000000000001,0.5451491995937514,0.7000000000000001,0.2879120879120879,0.42794144814782004,16,0.001,0,0.4,9,resize_mini_hu_m300_1400_separadas
1,VALIDATION,0.45,0.6206896551724138,1.0,0.0,0.0,16,0.0001,0,0.4,9,resize_mini_hu_m300_1400_separadas
1,TEST,0.48,0.6486486486486487,1.0,0.0,0.0,16,0.0001,0,0.4,9,resize_mini_hu_m300_1400_separadas
2,VALIDATION,0.55,0.0,0.0,1.0,0.0,16,0.0001,0,0.4,9,resize_mini_hu_m300_1400_separadas
2,TEST,0.52,0.0,0.0,1.0,0.0,16,0.0001,0,0.4,9,resize_mini_hu_m300_1400_separadas
3,VALIDATION,0.45,0.6206896551724138,1.0,0.0,0.0,16,0.0001,0,0.4,9,resize_mini_hu_m300_1400_separadas
3,TEST,0.48,0.6486486486486487,1.0,0.0,0.0,16,0.0001,0,0.4,9,resize_mini_hu_m300_1400_separadas
4,VALIDATION,0.45,0.6206896551724138,1.0,0.0,0.0,16,0.0001,0,0.4,9,resize_mini_hu_m300_1400_separadas
4,TEST,0.48,0.6486486486486487,1.0,0.0,0.0,16,0.0001,0,0.4,9,resize_mini_hu_m300_1400_separadas
5,VALIDATION,0.65,0.7407407407407407,1.0,0.3,0.5477225575051661,16,0.0001,0,0.4,9,resize_mini_hu_m300_1400_separadas
5,TEST,0.48,0.6285714285714286,1.0,0.07142857142857142,0.2672612419124244,16,0.0001,0,0.4,9,resize_mini_hu_m300_1400_separadas
MEAN,VALIDATION,0.51,0.5205619412515965,0.8,0.26,0.10954451150103321,16,0.0001,0,0.4,9,resize_mini_hu_m300_1400_separadas
MEAN,TEST,0.488,0.5149034749034749,0.8,0.21428571428571427,0.05345224838248488,16,0.0001,0,0.4,9,resize_mini_hu_m300_1400_separadas
1,VALIDATION,0.7,0.7,0.7777777777777778,0.6363636363636364,0.7035264706814485,4,0.001,0,0.4,9,resize_mini_hu_m600_1500_separadas
1,TEST,0.32,0.45161290322580644,0.5833333333333334,0.07692307692307693,0.21182963643408087,4,0.001,0,0.4,9,resize_mini_hu_m600_1500_separadas
2,VALIDATION,0.75,0.7058823529411765,0.6666666666666666,0.8181818181818182,0.7385489458759964,4,0.001,0,0.4,9,resize_mini_hu_m600_1500_separadas
2,TEST,0.64,0.5714285714285714,0.5,0.7692307692307693,0.6201736729460423,4,0.001,0,0.4,9,resize_mini_hu_m600_1500_separadas
3,VALIDATION,0.7,0.7,0.7777777777777778,0.6363636363636364,0.7035264706814485,4,0.001,0,0.4,9,resize_mini_hu_m600_1500_separadas
3,TEST,0.6,0.4444444444444444,0.3333333333333333,0.8461538461538461,0.5310850045437944,4,0.001,0,0.4,9,resize_mini_hu_m600_1500_separadas
4,VALIDATION,0.75,0.7368421052631579,0.7777777777777778,0.7272727272727273,0.7521014330903549,4,0.001,0,0.4,9,resize_mini_hu_m600_1500_separadas
4,TEST,0.4,0.4,0.4166666666666667,0.38461538461538464,0.40032038451271784,4,0.001,0,0.4,9,resize_mini_hu_m600_1500_separadas
5,VALIDATION,0.65,0.5882352941176471,0.5,0.8,0.6324555320336759,4,0.001,0,0.4,9,resize_mini_hu_m600_1500_separadas
5,TEST,0.48,0.43478260869565216,0.45454545454545453,0.5,0.4767312946227962,4,0.001,0,0.4,9,resize_mini_hu_m600_1500_separadas
MEAN,VALIDATION,0.71,0.6861919504643963,0.7,0.7236363636363636,0.7060317704725849,4,0.001,0,0.4,9,resize_mini_hu_m600_1500_separadas
MEAN,TEST,0.488,0.4604537055588949,0.45757575757575764,0.5153846153846154,0.44802799861188625,4,0.001,0,0.4,9,resize_mini_hu_m600_1500_separadas
1,VALIDATION,0.45,0.6206896551724138,1.0,0.0,0.0,4,0.0001,0,0.4,9,resize_mini_hu_m600_1500_separadas
1,TEST,0.48,0.6486486486486487,1.0,0.0,0.0,4,0.0001,0,0.4,9,resize_mini_hu_m600_1500_separadas
2,VALIDATION,0.65,0.72,1.0,0.36363636363636365,0.6030226891555273,4,0.0001,0,0.4,9,resize_mini_hu_m600_1500_separadas
