fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,seed,preprocessed_dir,weight_decay,dropout_prob
MEAN,VALIDATION,0.6599999999999999,0.6807017543859649,0.78,0.5581818181818182,0.6568240255233112,4,0.001,8,resize_mini_hu_m600_1500_separadas,0,0.3
MEAN,TEST,0.6000000000000001,0.5991708980674497,0.6636363636363637,0.5450549450549451,0.5860190192675129,4,0.001,8,resize_mini_hu_m600_1500_separadas,0,0.3
1,VALIDATION,0.7,0.625,0.5555555555555556,0.8181818181818182,0.6741998624632421,16,0.001,8,resize_mini_hu_m600_1500_separadas,0,0.3
1,TEST,0.6,0.5,0.4166666666666667,0.7692307692307693,0.5661385170722979,16,0.001,8,resize_mini_hu_m600_1500_separadas,0,0.3
2,VALIDATION,0.6,0.5555555555555556,0.5555555555555556,0.6363636363636364,0.5945883900105632,16,0.001,8,resize_mini_hu_m600_1500_separadas,0,0.3
2,TEST,0.52,0.4,0.3333333333333333,0.6923076923076923,0.48038446141526137,16,0.001,8,resize_mini_hu_m600_1500_separadas,0,0.3
3,VALIDATION,0.65,0.6956521739130435,0.8888888888888888,0.45454545454545453,0.6356417261637282,16,0.001,8,resize_mini_hu_m600_1500_separadas,0,0.3
3,TEST,0.56,0.6451612903225806,0.8333333333333334,0.3076923076923077,0.5063696835418333,16,0.001,8,resize_mini_hu_m600_1500_separadas,0,0.3
4,VALIDATION,0.6,0.6,0.6666666666666666,0.5454545454545454,0.6030226891555273,16,0.001,8,resize_mini_hu_m600_1500_separadas,0,0.3
4,TEST,0.72,0.7407407407407407,0.8333333333333334,0.6153846153846154,0.716114874039433,16,0.001,8,resize_mini_hu_m600_1500_separadas,0,0.3
5,VALIDATION,0.65,0.6956521739130435,0.8,0.5,0.6324555320336759,16,0.001,8,resize_mini_hu_m600_1500_separadas,0,0.3
5,TEST,0.64,0.6666666666666666,0.8181818181818182,0.5,0.6396021490668313,16,0.001,8,resize_mini_hu_m600_1500_separadas,0,0.3
MEAN,VALIDATION,0.6399999999999999,0.6343719806763285,0.6933333333333334,0.5909090909090909,0.6279816399653473,16,0.001,8,resize_mini_hu_m600_1500_separadas,0,0.3
MEAN,TEST,0.6080000000000001,0.5905137395459976,0.6469696969696971,0.576923076923077,0.5817219370271314,16,0.001,8,resize_mini_hu_m600_1500_separadas,0,0.3
1,VALIDATION,0.8,0.7777777777777778,0.7777777777777778,0.8181818181818182,0.7977240352174657,4,0.001,40,resize_mini_hu_m300_1400_separadas,0,0.3
1,TEST,0.64,0.5263157894736842,0.4166666666666667,0.8461538461538461,0.5937710859953544,4,0.001,40,resize_mini_hu_m300_1400_separadas,0,0.3
2,VALIDATION,0.6,0.6,0.6666666666666666,0.5454545454545454,0.6030226891555273,4,0.001,40,resize_mini_hu_m300_1400_separadas,0,0.3
2,TEST,0.64,0.6086956521739131,0.5833333333333334,0.6923076923076923,0.6354889093022426,4,0.001,40,resize_mini_hu_m300_1400_separadas,0,0.3
3,VALIDATION,0.7,0.7,0.7777777777777778,0.6363636363636364,0.7035264706814485,4,0.001,40,resize_mini_hu_m300_1400_separadas,0,0.3
3,TEST,0.52,0.6,0.75,0.3076923076923077,0.4803844614152614,4,0.001,40,resize_mini_hu_m300_1400_separadas,0,0.3
4,VALIDATION,0.65,0.5882352941176471,0.5555555555555556,0.7272727272727273,0.6356417261637283,4,0.001,40,resize_mini_hu_m300_1400_separadas,0,0.3
4,TEST,0.52,0.625,0.8333333333333334,0.23076923076923078,0.4385290096535146,4,0.001,40,resize_mini_hu_m300_1400_separadas,0,0.3
5,VALIDATION,0.75,0.7058823529411765,0.6,0.9,0.7348469228349535,4,0.001,40,resize_mini_hu_m300_1400_separadas,0,0.3
5,TEST,0.64,0.5263157894736842,0.45454545454545453,0.7857142857142857,0.5976143046671968,4,0.001,40,resize_mini_hu_m300_1400_separadas,0,0.3
MEAN,VALIDATION,0.7,0.6743790849673202,0.6755555555555556,0.7254545454545455,0.6949523688106247,4,0.001,40,resize_mini_hu_m300_1400_separadas,0,0.3
MEAN,TEST,0.5920000000000001,0.5772654462242562,0.6075757575757577,0.5725274725274725,0.549157554206714,4,0.001,40,resize_mini_hu_m300_1400_separadas,0,0.3
