n_neighbors,weights,metric,Mean_Accuracy,Mean_F1,Mean_TPR,Mean_TNR,Mean_G-Mean
3,uniform,euclidean,0.512,0.47457912457912454,0.47424242424242424,0.5472527472527473,0.5030353323206207
5,uniform,euclidean,0.52,0.49701313179574047,0.509090909090909,0.5329670329670331,0.5088355011449602
5,distance,euclidean,0.4800000000000001,0.4657279821627648,0.47575757575757577,0.48681318681318686,0.47806836750870707
7,uniform,manhattan,0.512,0.46836175418784115,0.4575757575757575,0.5626373626373626,0.5033646328122939
9,distance,manhattan,0.4800000000000001,0.4043807641633729,0.37424242424242427,0.5769230769230769,0.4522686538437478
