subsample,colsample_bytree,gamma,min_child_weight,scale_pos_weight,eval_metric,use_label_encoder,random_state,n_estimators,max_depth,learning_rate,Mean_Accuracy,Mean_F1,Mean_TPR,Mean_TNR,Mean_G-Mean
0.8,0.8,0,1,1,logloss,False,42,100,4,0.1,0.552,0.4803764351590439,0.44393939393939397,0.6505494505494506,0.5343411259331166
0.8,0.8,0,1,1,logloss,False,42,200,5,0.05,0.568,0.5031469979296066,0.46060606060606063,0.6637362637362638,0.5519686630411782
0.8,0.8,0,1,1,logloss,False,42,300,6,0.03,0.568,0.4931037078863166,0.44393939393939397,0.6791208791208792,0.5472109426156674
0.8,0.8,0,1,1,logloss,False,42,150,8,0.07,0.5599999999999999,0.48931974204285417,0.4424242424242424,0.6637362637362638,0.5399654518037966
0.8,0.8,0,1,1,logloss,False,42,250,10,0.05,0.5599999999999999,0.4794194973600008,0.4257575757575758,0.6791208791208792,0.5362538451920337
0.8,0.8,0,1,1,logloss,False,42,350,12,0.02,0.568,0.4936231884057971,0.44393939393939397,0.6791208791208792,0.547859507461731
0.8,0.8,0,1,1,logloss,False,42,400,6,0.01,0.576,0.4978656126482213,0.44393939393939397,0.6945054945054945,0.553021414924212
0.8,0.8,0,1,1,logloss,False,42,300,8,0.02,0.568,0.4936231884057971,0.44393939393939397,0.6791208791208792,0.547859507461731
0.8,0.8,0,1,1,logloss,False,42,100,3,0.2,0.536,0.45474367737525634,0.4075757575757576,0.6494505494505495,0.5119967229614761
