n_estimators,max_depth,min_samples_split,Mean_Accuracy,Mean_F1,Mean_TPR,Mean_TNR,Mean_G-Mean
100,5.0,2,0.552,0.4429406850459482,0.37272727272727274,0.7120879120879121,0.5145457294457838
200,10.0,4,0.536,0.442032353611301,0.39242424242424245,0.6648351648351648,0.5075587859632937
300,,2,0.504,0.4426482213438735,0.4242424242424242,0.5758241758241759,0.484502900911923
