n_estimators,max_depth,learning_rate,Mean_Accuracy,Mean_F1,Mean_TPR,Mean_TNR,Mean_G-Mean
100,4,0.1,0.544,0.4774515339732731,0.4424242424242424,0.6373626373626372,0.5283100698196919
200,6,0.05,0.552,0.47322852586010483,0.4257575757575758,0.6670329670329671,0.5306085446797433
300,8,0.03,0.544,0.4684854428561523,0.4257575757575758,0.6527472527472528,0.5238353448348014
